,District,Neighbourhood,Latitude,Longitude
79,E09,Woburn,43.76667,-79.22778
80,E09,Morningside,43.787,-79.206
81,E09,Bendale (Cedarbrae),43.76,-79.24
82,E10,Rouge (South),43.82083,-79.20611
83,E10,Port Union (Centennial Scarborough),43.77889,-79.13417
84,E10,West Hill,43.76833,-79.18611
85,E10,Highland Creek,43.78917,-79.17472
86,E11,Rouge (West),43.82083,-79.20611
87,E11,Malvern,43.81167,-79.23111
88,W01,High Park,43.646821,-79.462996
89,W01,South Parkdale,43.640454,-79.436731
90,W01,Swansea,43.64389,-79.47778
91,W01,Roncesvalles Village,43.646231,-79.449048
92,W02,Bloor West Village,43.65083,-79.4775
93,W02,Baby Point,43.6575,-79.4925
94,W02,The Junction (Junction Area),43.66556,-79.46444
95,W02,High Park North,43.656,-79.475
96,W03,Keelesdale,43.69,-79.476
97,W03,Eglinton West,43.69454,-79.4553
98,W03,Rockcliffe–Smythe,43.67528,-79.48861
99,W03,Weston-Pellam Park,43.672,-79.457
100,W03,Corso Italia,43.677,-79.447
101,W04,York,43.689829,-79.478066
102,W04,Glen Park,43.708,-79.448
103,W04,Amesbury (Brookhaven),43.70056,-79.49028
104,W04,Pelmo Park – Humberlea,43.71667,-79.52778
105,W04,Weston,43.7009889,-79.5197
106,W04,Fairbank (Briar Hill-Belgravia),43.69556,-79.45
107,W04,Maple Leaf,43.713,-79.489
108,W04,Mount Dennis,43.6919833,-79.5062139
109,W05,Downsview,43.73222,-79.49333
110,W05,Humber Summit,43.757,-79.572
111,W05,Humbermede (Emery),43.7462972,-79.5411861
112,W05,Jane and Finch (Black Creek or Glenfield-Jane Heights),43.75722,-79.51778
113,W05,York University Heights,43.762,-79.5
114,W06,New Toronto,43.60056,-79.50528
115,W06,Long Branch,43.59139,-79.5325
116,W06,Mimico,43.61278,-79.49417
117,W06,Alderwood,43.6075,-79.54028
118,W07,Sunnylea (The Queensway – Humber Bay),43.63028,-79.48417
119,W08,The Kingsway,43.6475,-79.51139
120,W08,Central Etobicoke,43.61611,-79.5125
121,W08,Eringate – Centennial – West Deane,43.661383,-79.57072
122,W08,Princess-Rosethorn,43.67028,-79.54111
123,W08,Edenbridge-Humber Valley,43.67167,-79.51444
124,W08,Islington–City Centre West,43.64861,-79.52861
125,W08,Markland Wood,43.63222,-79.575
126,W09,Kingsview Village-The Westway,43.69444,-79.55861
127,W09,Richview (Willowridge),43.67722,-79.55083
128,W09,Humber Heights – Westmount,43.69722,-79.52583
129,W10,Rexdale,43.72194,-79.57194
130,W10,Clairville,43.75,-79.63889
131,W10,Thistletown - Beaumond Heights,43.73722,-79.56528
132,W10,Smithfield: Mount Olive-Silverstone-Jamestown,43.73972,-79.58028
133,W10,The Elms (Elms-Old Rexdale),43.71306,-79.56111
